year,ageGroup,clubCode,teamName,teamCode,rank,npsPoints,clubPoints
2025,12,frogsnt,MadFrog VBC 12 - 1,g12frogs1nt,1,645,100
2025,12,tmdynha,Dynasty VB- KS 12 - 1,g12tmdyn1ha,2,600,99
2025,12,afiveso,A5 Mizuno- GA 12 - 1,g12afive1so,3,595,98
2025,12,srfsdsc,Surfside VBC- CA 12 - 1,g12srfsd1sc,3,595,98
2025,12,excelnt,Excel Volleyball Club 12 - 1,g12excel1nt,5,580,96
2025,12,cvbcoov,Cleveland Volleyball Company 12 - 1,g12cvbco1ov,6,573,95
2025,12,milonsc,Mizuno LB- CA 12 - 1,g12milon1sc,7,570,94
2025,12,coastsc,Coast VBC - CA 12 - 1,g12coast1sc,8,565,93
2025,12,1unvbnt,1United 12 - 1,g121unvb1nt,9,560,92
2025,12,sunshsc,Sunshine VBC- CA 12 - 1,g12sunsh1sc,9,560,92
2025,12,txadvnt,TAV 12 - 1,g12txadv1nt,10,553,91
2025,12,aperfls,Austin Performance 12 - 1,g12aperf1ls,11,548,90
2025,12,premrgp,Premier - NE Volleyball 12 - 1,g12premr1gp,12,538,89
2025,12,elevaov,Elevation - Sports Express 12 - 1,g12eleva1ov,13,528,88
2025,12,mavbcha,Asics MAVS- KS 12 - 1,g12mavbc1ha,14,526,87
2025,12,stormaz,AZ Storm 12 - 1,g12storm1az,15,525,86
2025,12,skylnnt,Dallas Skyline Jr 12 - 1,g12skyln1nt,15,525,86
2025,12,mlwstbg,Milwaukee Sting VBC 12 - 1,g12mlwst1bg,17,523,84
2025,12,hpstlgw,HPSTL 12 - 1,g12hpstl1gw,18,510,83
2025,12,sgeltsc,SG Elite VBC- CA 12 - 1,g12sgelt1sc,19,500,82
2025,12,akivapr,KIVA- KY 12 - 1,g12akiva1pr,20,495,81
2025,12,tsvbafl,Top Select- FL 12 - 1,g12tsvba1fl,20,495,81
2025,12,alamols,Alamo VBA 12 - 1,g12alamo1ls,22,490,79
2025,12,ojvbcde,Ozark Juniors VB- AR 12 - 1,g12ojvbc1de,22,490,79
2025,12,vacessc,Vegas Aces 12 - 1,g12vaces1sc,22,490,79
2025,12,eagmtnt,Eagle Mountain - TX 12 - 1,g12eagmt1nt,25,485,76
2025,12,legvclk,Legacy VBC - MI 12 - 1,g12legvc1lk,25,485,76
2025,12,mavbcha,Asics MAVS- KS 12 - 2,g12mavbc2ha,27,483,74
2025,12,acdvpnc,Academy Palo Alto- CA 12 - 1,g12acdvp1nc,28,480,73
2025,12,aretent,Arete Athletics 12 - 1,g12arete1nt,28,480,73
2025,12,ccityho,CCVC- IN 12 - 1,g12ccity1ho,28,480,73
2025,12,elevbrm,Elevation - CO 12 - 1,g12elevb1rm,28,480,73
2025,12,pvakcha,PVA- MO 12 - 1,g12pvakc1ha,28,480,73
2025,12,revolaz,Revolution - AZ 12 - 1,g12revol1az,28,480,73
2025,12,rwdthgw,Rockwood Thunder 12 - 1,g12rwdth1gw,28,480,73
2025,12,skyhigl,Sky High VBC- IL 12 - 2,g12skyhi2gl,28,480,73
2025,12,tribefl,Tribe VB- FL 12 - 1,g12tribe1fl,28,480,73
2025,12,otbvafl,OTVA- FL 12 - 1,g12otbva1fl,37,478,64
2025,12,opremov,Ohio Premier VBC 12 - 1,g12oprem1ov,38,475,63
2025,12,op2vbok,Oklahoma Peak Performance 12 - 1,g12op2vb1ok,38,475,63
2025,12,sclegsc,SoCal Legends 12 - 1,g12scleg1sc,40,470,61
2025,12,gjvbcfl,Gainesville Jrs- FL 12 - 1,g12gjvbc1fl,41,465,60
2025,12,tavbjho,Boiler Jrs VBC- IN 12 - 1,g12tavbj1ho,42,463,59
2025,12,nkyvcpr,NKYVC- KY 12 - 1,g12nkyvc1pr,42,463,59
2025,12,alliagl,1st Alliance VBC- IL 12 - 1,g12allia1gl,44,460,57
2025,12,laverls,LV 12 - 1,g12laver1ls,44,460,57
2025,12,msprtov,Mintonette Sports 12 - 1,g12msprt1ov,44,460,57
2025,12,powerha,KC Power- KS 12 - 1,g12power1ha,47,455,54
2025,12,norcorm,NORCO- CO 12 - 1,g12norco1rm,47,455,54
2025,12,azskyaz,AZ Sky 12 - 1,g12azsky1az,49,450,52
2025,12,allvbso,Alliance VBC - TN 12 - 1,g12allvb1so,50,448,51
2025,12,cvbcoov,Cleveland Volleyball Company 12 - 2,g12cvbco2ov,51,445,50
2025,12,akivapr,KIVA- KY 12 - 2,g12akiva2pr,51,445,50
2025,12,elitegp,Nebraska Elite 12 - 1,g12elite1gp,51,445,50
2025,12,omnivaz,Omni 12 - 1,g12omniv1az,51,445,50
2025,12,tavhols,TAV Houston 12 - 1,g12tavho1ls,51,445,50
2025,12,miavafl,Miami VBA- FL 12 - 1,g12miava1fl,56,443,45
2025,12,ajvbals,Austin Junior Volleyball 12 - 1,g12ajvba1ls,57,440,44
2025,12,gpontfl,GP 12 Rox,g12gpont1fl,57,440,44
2025,12,unionpr,UNION - IN 12 - 1,g12union1pr,57,440,44
2025,12,excelnt,Excel Volleyball Club 12 - 2,g12excel2nt,60,435,41
2025,12,acavcov,AVC - OH 12 - 1,g12acavc1ov,61,430,40
2025,12,skylnnt,Dallas Skyline Jr 12 - 2,g12skyln2nt,61,430,40
2025,12,frogsnt,MadFrog VBC 12 - 2,g12frogs2nt,61,430,40
2025,12,chargok,Oklahoma Charge Volleyball 12 - 1,g12charg1ok,61,430,40
2025,12,tristpr,Tri-State Elite- KY 12 - 1,g12trist1pr,61,430,40
2025,12,elevaov,Elevation - Sports Express 12 - 2,g12eleva2ov,66,428,35
2025,12,tavmsho,Monon Select VBC 12 - 1,g12tavms1ho,66,428,35
2025,12,actyvsc,Actyve VBC- CA 12 - 1,g12actyv1sc,68,425,33
2025,12,htidefl,High Tide VB - FL 12 - 1,g12htide1fl,68,425,33
2025,12,pnadvnc,Panda VBC 12 - 1,g12pnadv1nc,68,425,33
2025,12,sajvbls,SA Juniors 12 Adidas (LS),g12sajvb1ls,68,425,33
2025,12,pinesfl,Legacy 12U (FL),g12pines1fl,72,420,29
2025,12,lightfl,Lightning VBA- FL 12 - 1,g12light1fl,72,420,29
2025,12,tolvcov,TVC - OH 12 - 1,g12tolvc1ov,72,420,29
2025,12,tavbcho,The Academy - IN 12 - 1,g12tavbc1ho,75,418,26
2025,12,ncvbacr,Academy - NC 12 - 1,g12ncvba1cr,76,415,25
2025,12,fovbclk,Far Out- MI 12 - 1,g12fovbc1lk,76,415,25
2025,12,frflynt,Frisco Flyers VBC 12 - 1,g12frfly1nt,76,415,25
2025,12,invasha,Invasion 12 - 3,g12invas3ha,76,415,25
2025,12,hoskyls,Houston Skyline Jr 12 - 1,g12hosky1ls,80,405,21
2025,12,mvbacde,MVA - TN 12 - 1,g12mvbac1de,80,405,21
2025,12,sealbsc,Seal Beach VBC- CA 12 - 1,g12sealb1sc,80,405,21
2025,12,sunshsc,Sunshine VBC- CA 12 - 3,g12sunsh3sc,83,400,18
2025,12,nkjvbpr,NKVB- KY 12 - 1,g12nkjvb1pr,84,395,17
2025,12,otbvafl,OTVA- FL 12 - 2,g12otbva2fl,84,395,17
2025,12,pohakha,Pohaku VBC 12 - 1,g12pohak1ha,84,395,17
2025,12,revolaz,Revolution - AZ 12 - 2,g12revol2az,84,395,17
2025,12,tsunaso,Tsunami VB GA 12 - 1,g12tsuna1so,84,395,17
2025,12,kairono,Kairos VBC - SD 12 - 1,g12kairo1no,89,393,12
2025,12,metroho,Metro VBC- IN 12 - 1,g12metro1ho,89,393,12
2025,12,arvcasu,ARVC Adidas 12 - 1,g12arvca1su,91,390,10
2025,12,houjrls,Houston Juniors 12 - 1,g12houjr1ls,91,390,10
2025,12,munvbho,Munciana- IN 12 - 1,g12munvb1ho,91,390,10
2025,12,1unvbnt,1United 12 - 2,g121unvb2nt,94,385,7
2025,12,mouvinc,Mtn View VBC- CA 12 - 1,g12mouvi1nc,94,385,7
2025,12,nolavby,Nola VB- LA 12 - 1,g12nolav1by,94,385,7
2025,12,opremov,Ohio Premier VBC 12 - 2,g12oprem2ov,94,385,7
2025,12,bosscov,Boss CLE 12 - 1,g12bossc1ov,98,380,3
2025,12,tstlvsc,Tstreet LV 12-Laura,g12tstlv1sc,98,380,3
2025,13,skylnnt,Dallas Skyline Jr 13 - 1,g13skyln1nt,1,660,100
2025,13,milonsc,Mizuno LB- CA 13 - 1,g13milon1sc,2,620,99
2025,13,tmdynha,Dynasty VB- KS 13 - 1,g13tmdyn1ha,3,615,98
2025,13,legvclk,Legacy VBC - MI 13 - 1,g13legvc1lk,4,607,97
2025,13,stormaz,AZ Storm 13 - 1,g13storm1az,5,600,96
2025,13,afiveso,A5 Mizuno- GA 13 - 1,g13afive1so,6,588,95
2025,13,tribefl,Tribe VB- FL 13 - 1,g13tribe1fl,7,583,94
2025,13,1unvbnt,1United 13 - 1,g131unvb1nt,8,582,93
2025,13,wvevbsc,Wave - CA 13 - 1,g13wvevb1sc,9,580,92
2025,13,frogsnt,MadFrog VBC 13 - 1,g13frogs1nt,10,565,91
2025,13,azskyaz,AZ Sky 13 - 1,g13azsky1az,11,563,90
2025,13,mavbcha,Asics MAVS- KS 13 - 1,g13mavbc1ha,12,558,89
2025,13,excelnt,Excel Volleyball Club 13 - 1,g13excel1nt,13,550,88
2025,13,hpstlgw,HPSTL 13 - 1,g13hpstl1gw,14,548,87
2025,13,elevaov,Elevation - Sports Express 13 - 1,g13eleva1ov,15,545,86
2025,13,hoskyls,Houston Skyline Jr 13 - 1,g13hosky1ls,16,538,85
2025,13,absolnc,Absolute VBC- CA 13 - 1,g13absol1nc,17,535,84
2025,13,tavbjho,Boiler Jrs VBC- IN 13 - 1,g13tavbj1ho,18,530,83
2025,13,fovbclk,Far Out- MI 13 - 1,g13fovbc1lk,18,530,83
2025,13,atomcaz,Atomic VBC 13 - 1,g13atomc1az,20,528,81
2025,13,askylls,Austin Skyline 13 - 1,g13askyl1ls,21,525,80
2025,13,tsvbafl,Top Select- FL 13 - 1,g13tsvba1fl,21,525,80
2025,13,alamols,Alamo VBA 13 - 1,g13alamo1ls,23,523,78
2025,13,powerha,KC Power- KS 13 - 1,g13power1ha,23,523,78
2025,13,mouvinc,Mtn View VBC- CA 13 - 1,g13mouvi1nc,23,523,78
2025,13,pohakha,Pohaku VBC 13 - 1,g13pohak1ha,26,520,75
2025,13,msprtov,Mintonette Sports 13 - 1,g13msprt1ov,27,517,74
2025,13,wpvcbfl,Winter Park VBC- FL 13 - 1,g13wpvcb1fl,28,513,73
2025,13,akivapr,KIVA- KY 13 - 1,g13akiva1pr,29,510,72
2025,13,otbvafl,OTVA- FL 13 - 1,g13otbva1fl,30,505,71
2025,13,otbvafl,OTVA- FL 13 - 2,g13otbva2fl,30,505,71
