year,clubCode,clubName,state,totalPoints,legacyRank
2021,949avsc,949avsc,,1.5,
2021,a4volsc,A4 Volleyball,CA,18.75,
2021,aavbcov,aavbcov,,10,
2021,absolnc,Absolute - CA,CA,31.75,
2021,acavcov,AVC - Cleveland,OH,59.6,
2021,adrvaia,Adrenaline,IA,7.25,
2021,advergl,Adversity - IL,IL,49.05,
2021,afiveso,Mizuno A5,GA,94.1,
2021,ajvbals,Austin Juniors,TX,37.25,
2021,akivapr,Adidas KIVA,KY,83.2,
2021,alamols,Alamo,TX,37.55,
2021,alliagl,1st Alliance,IL,68.4,
2021,allvbso,Alliance VBC - TN,TN,21.65,
2021,aperfls,Austin Performance,TX,13.65,
2021,aretent,Arete,TX,1.9,
2021,arvcasu,Albuquerque Rebels,NM,0.45,
2021,askylls,Austin Skyline,TX,13.25,
2021,aspiraz,Aspire (AZ),AZ,25.9,
2021,azevjaz,AZ East Valley Juniors,AZ,12,
2021,azskyaz,AZ Sky,AZ,11.55,
2021,bevnyge,bevnyge,,6.25,
2021,bomerfl,bomerfl,,11.6,
2021,bsvbcov,bsvbcov,,1.5,
2021,caruncr,Carolina Union ,NC,31.95,
2021,ccforls,ccforls,,3.5,
2021,ccityho,Circle City,IN,83.5,
2021,ccjrsso,ccjrsso,,0.1,
2021,chargok,Oklahoma Charge,OK,0.45,
2021,chavbcr,chavbcr,,8,
2021,cityvsc,City VBC,CA,12.75,
2021,cjvvbcr,Carolina Juniors,NC,12.15,
2021,clubvim,Club V,UT,48.05,
2021,coastsc,Coast,CA,84.85,
2021,cojrsrm,Colorado Juniors,CO,21.25,
2021,couvbho,couvbho,,9.15,
2021,cronepm,cronepm,,0.5,
2021,cvbcoov,Cleveland Volleyball Company,,21,
2021,dakwaps,Dakine,,0.45,
2021,dcvbasu,dcvbasu,,3.45,
2021,drivent,Drive Nation Volleyball Club,NA,59.35,
2021,dsummnt,dsummnt,,0.1,
2021,ecjrvov,ecjrvov,,0.45,
2021,ecjvccr,ecjvccr,,6.55,
2021,ecpwrke,East Coast Power,PA,17.65,
2021,ecvolod,ecvolod,,11.5,
2021,elevaov,Elevation - OH,OH,58.3,
2021,elitegp,NE Elite,NE,44.1,
2021,encoenc,encoenc,,19,
2021,epicugl,epicugl,,18.75,
2021,evbtcov,Elite VBTC,OH,4.65,
2021,excelnt,Excel - TX,TX,38,
2021,fcelibg,FC Elite - WI,WI,34.6,
2021,fgsvafl,fgsvafl,,32.7,
2021,fieldnt,FIELDHOUSE VOLLEYBALL CLUB,,8,
2021,fleltfl,fleltfl,,4.65,
2021,fmvbcde,fmvbcde,,1.5,
2021,forcenc,Synergy Force,CA,11.05,
2021,forzasc,Forza1,CA,17.6,
2021,fovbclk,Far Out,MI,26.3,
2021,frflynt,Frisco Flyers,TX,12.45,
2021,frogsnt,Madfrog,TX,77.1,
2021,frvbcrm,Front Range,,23,
2021,fsfvbso,fsfvbso,,12,
2021,fsiongl,fsiongl,,19.5,
2021,gjvbcfl,Gainesville Jrs,Fl,25.75,
2021,gpontfl,Game Point,FL,9.4,
2021,hivevim,hivevim,,20.25,
2021,hoskyls,Houston Skyline,TX,75.4,
2021,houjrls,Houston Juniors,TX,68.75,
2021,hpstlgw,HPSTL,MO,17.65,
2021,hsvbals,Houston Stellar,TX,22.85,
2021,htidefl,htidefl,,18,
2021,hvoltfl,hvoltfl,,6.5,
2021,iarckia,iarckia,,12.5,
2021,idcrsim,Idaho Crush,ID,3.5,
2021,ievbcgl,Illini Elite,IL,21.5,
2021,invbade,invbade,,18.5,
2021,jaxjrfl,JJVA,FL,1.25,
2021,jtaavfl,Jupiter Volleyball Club,FL,1.5,
2021,ktvbcso,K2,TN,53.55,
2021,legvclk,Legacy - MI,MI,62.75,
2021,lexvbpr,lexvbpr,,25.1,
2021,lightfl,lightfl,,7.35,
2021,livwraz,livwraz,,17.5,
2021,mavaspr,mavaspr,,3.6,
2021,mavbcha,Asics MAVS,KS,62.85,
2021,mavrkov,mavrkov,,9.75,
2021,maxpvfl,maxpvfl,,9,
2021,mcvbagl,mcvbagl,,24.5,
2021,metroch,Metro - DC,DC,67.8,
2021,mevbcfl,mevbcfl,,10.75,
2021,mhypefl,Miami Hype VBC,FL,12.4,
2021,miavafl,miavafl,,8,
2021,midtnso,midtnso,,5.25,
2021,mievalk,Michigan Elite,Mi,69.25,
2021,milonsc,Mizuno Long Beach,CA,53.4,
2021,mlwstbg,Milwaukee Sting,WI,61.75,
2021,mmjvbde,mmjvbde,,1.9,
2021,mnselno,Minnesota Select,MN,45.75,
2021,motvpbg,motvpbg,,5,
2021,mpactha,mpactha,,7.25,
2021,msprtov,Mintonette Sports,OH,71,
2021,munvbho,Asics Munciana,IN,88.1,
2021,mvbacde,mvbacde,,10.5,
2021,ncvbacr,Academy - NC ,NC,32.95,
2021,neonegp,Nebraska One,NE,6.5,
2021,neovcov,neovcov,,3.2,
2021,nivbaho,nivbaho,,16.5,
2021,nkyvcpr,NKYVC,KY,51,
2021,nliteno,Mizuno Northern Lights,MN,70.65,
2021,nolavby,nolavby,,15.75,
2021,nonamfl,No Name,FL,16.25,
2021,norcanc,NoCal VBC,CA,5,
2021,norcorm,NORCO,CO,21.15,
2021,novajov,novajov,,12.75,
2021,npjseps,npjseps,,8,
2021,npjvbce,North Pacific Juniors,OR,1.25,
2021,ojvacce,Oregon Juniors,OR,10.75,
2021,ojvbcde,Ozark Jrs,AR,11.5,
2021,op2vbok,Oklahoma Peak,OK,1.8,
2021,opremov,opremov,,4.7,
2021,opuvbfl,opuvbfl,,10,
2021,otbvafl,OTVA,FL,80.2,
2021,parvbch,Paramount VBC,VA,6.8,
2021,pghelke,pghelke,,6.25,
2021,phpvbho,Pineapple,IN,17,
2021,plscvsc,plscvsc,,1.25,
2021,pohakha,Pohaku Volleyball Club,MO,17.5,
2021,povbafl,povbafl,,4,
2021,powerha,KC POWER,KS,52.05,
2021,premrgp,Premier - NE,NE,89.85,
2021,pvakcha,PVA - MO,MO,24.25,
2021,ranchsc,ranchsc,,11.9,
2021,revbcho,Rev - IN,IN,1,
2021,revolaz,Revolution - AZ,AZ,22.65,
2021,roguepm,roguepm,,12,
2021,rootsls,rootsls,,11.75,
2021,rvcjrod,rvcjrod,,0.5,
2021,rwdthgw,Rockwood Thunder,MO,81.3,
2021,sajvbls,SA Juniors,TX,20.75,
2021,samagls,samagls,,7.8,
2021,scmidpm,scmidpm,,6.5,
2021,scvbcsc,S Cal VBC -CA,CA,1.8,
2021,sealbsc,Seal Beach,CA,22.4,
2021,sgeltsc,SG ELITE,CA,35.65,
2021,shockha,shockha,,5.9,
2021,sixpkia,Six Pack,IA,12.3,
2021,skevapr,skevapr,,17.5,
2021,skylnfl,Jacksonville Skyline,FL,4.7,
2021,skylnnt,Dallas Skyline,TX,84.35,
2021,spvbcgl,Sports Performance,IL,27.7,
2021,srfsdsc,Surfside Vbc,NA,19.9,
2021,starspm,Upward - SC,SC,41.7,
2021,stormaz,AZ Storm,AZ,56.25,
2021,stvacls,STVA,TX,0.45,
