endYear,clubCode,clubName,rank,totalPoints
2021,txadvnt,Texas Advantage Volleyball,1,95.8
2021,afiveso,Mizuno A5,2,91.22
2021,munvbho,Asics Munciana,3,84.71
2021,coastsc,Coast,4,83.6
2021,otbvafl,OTVA,5,83.22
2021,skylnnt,Dallas Skyline,6,81.37
2021,akivapr,Adidas KIVA,7,81.04
2021,rwdthgw,Rockwood Thunder,8,76.54
2021,wvevbsc,WAVE,9,75.82
2021,ccityho,Circle City,10,75.07
2021,msprtov,Mintonette Sports,11,74.49
2021,hoskyls,Houston Skyline,12,72.97
2021,nliteno,Mizuno Northern Lights,13,71.07
2021,acavcov,AVC - Cleveland,14,67.59
2021,mlwstbg,Milwaukee Sting,15,66.41
2021,sunshsc,Sunshine,16,66.39
2021,tstrtsc,Tstreet,17,64.63
2021,tristpr,Tri-State Elite,18,64.36
2021,premrgp,Premier - NE,19,63.64
2021,legvclk,Legacy - MI,20,63.36
2021,powerha,KC POWER,21,62.21
2021,elevaov,Elevation - OH,22,62.2
2021,sgeltsc,SG ELITE,23,62.03
2021,metroch,Metro - DC,24,61.92
2021,houjrls,Houston Juniors,25,61.74
2021,stormaz,AZ Storm,26,60.64
2021,alliagl,1st Alliance,27,56.01
2021,mievalk,Michigan Elite,28,55.19
2021,milonsc,Mizuno Long Beach,29,53.83
2021,mavbcha,Asics MAVS,30,53.3
2021,spvbcgl,Sports Performance,31,52.44
2021,tsvbafl,Top Select,32,52.28
2021,frogsnt,Madfrog,33,51.53
2021,mnselno,Minnesota Select,35,46.37
2021,excelnt,Excel - TX,36,46.35
2021,ajvbals,Austin Juniors,37,46.11
2021,clubvim,Club V,38,43.18
2021,cojrsrm,Colorado Juniors,40,39.11
2021,vsionnc,Vision - CA,41,39.01
2021,tmdynha,DYNASTY- KS,42,38.18
2021,ktvbcso,K2,43,38.07
2021,unionpr,UNION,44,37.7
2021,nkyvcpr,NKYVC,45,37.06
2021,absolnc,Absolute - CA,46,36.9
2021,elitegp,NE Elite,47,35.24
2021,a4volsc,A4 Volleyball,48,34.29
2021,alamols,Alamo,49,34.24
2021,trnglcr,Triangle,50,33.46
2021,fovbclk,Far Out,51,32.79
2021,ripornc,Rage - CA,53,31.86
2021,forzasc,Forza1,55,30.64
2021,tivbcho,Team Indiana,56,29.6
2021,hpstlgw,HPSTL,58,27.46
2021,starspm,Upward - SC,59,26.23
2021,tribefl,Tribe - FL,60,26.17
2021,advergl,Adversity - IL,63,25.67
2021,ievbcgl,Illini Elite,64,25.25
2021,sealbsc,Seal Beach,66,23.72
